work,com,money,area,quest1,quest2,work_type
['数据分析师'],['天津康津医学科技有限公司'],['9千-1.2万'],['天津-东丽'],['1-3年'],['本科'],"['Java', 'Python', 'SQL']"
['数据分析师'],['深圳市威诺达工业技术有限公司天津分公司'],['5千-8千'],['天津-滨海新区'],['3-5年'],['本科'],"['Power BI', '舆情分析', '行业分析', '深度学习', 'Stata', '运营数据分析', '协同过滤', '关联分析']"
['数据分析师'],['智联猎头'],['1万-1.5万'],['天津-东丽'],['3-5年'],['本科'],"['数据建模', '数据分析']"
['数据分析'],['黑龙江省公众科技有限公司'],['6千-1.2万'],['天津-南开'],['3-5年'],['本科'],"['行业分析', '运营数据分析']"
['数据分析师'],['中海油(天津)管道工程技术有限公司'],['5千-1万'],['天津'],['1-3年'],['本科'],['检测数据分析']
['数据分析师'],['内蒙古钛驰新迪商务有限公司'],['8千-1.5万'],['天津-河西'],['1年以下'],['大专'],"['Java', '商业数据分析', '运营数据分析', '财务数据分析', '风控数据分析', '游戏数据分析', '销售数据分析']"
['数据分析师'],['龙岩龙竹雨信息技术有限公司'],['150-200/天'],['天津-滨海新区'],['无经验'],['硕士'],"['分类算法', '机器学习', '决策树', 'Python', 'R语言', '时间序列模型', '回归算法', '预测分析']"
['数据分析员'],['盛蚨祥(天津)新材料科技有限公司'],['7千-1.3万'],['天津-河西'],['不限'],['大专'],"['数据分析', 'MySQL', 'Tableau', '决策树']"
['数据分析岗'],['爱玛科技集团股份有限公司'],['6千-9千'],['天津'],['3-5年'],['大专'],"['Power BI', '销售数据分析']"
['数据分析助理'],['润建股份'],['4千-6千'],['天津-河东'],['1-3年'],['大专'],"['数据分析', '数据监控', '数据中台', 'Excel']"
['大数据分析师（可培养）'],['北京蓝飞信息科技有限公司'],['9千-1.2万'],['天津-南开'],['不限'],['本科'],"['数据分析', '大数据分析', '数据采集', '大数据平台']"
['大数据开发工程师'],['阿鲁科尔沁旗迪新网络科技有限公司'],['8千-1.5万'],['天津-河西'],['不限'],['大专'],"['数据挖掘', '数仓开发', '数据建模', '数据集市', '数据中台', 'ETL开发', '数据平台']"
['数据分析文员'],['盛蚨祥(天津)新材料科技有限公司'],['5千-8千'],['天津-南开'],['不限'],['大专'],"['数据分析', 'SQL', 'Tableau']"
['数据分析工程师'],['天津鑫能联合科技有限公司'],['6千-8千'],['天津-河东'],['不限'],['大专'],"['SQL', 'MySQL', 'Oracle']"
['数据分析专员'],['天津开发区万业源房地产经纪有限公司'],['4千-6千'],['天津-滨海新区'],['不限'],['本科'],"['数据分析', '数据挖掘', '数据仓库', '数据采集']"
['数据管理与分析'],['中汽数据有限公司'],['8千-1.2万'],['天津-西青'],['不限'],['本科'],"['数据资产管理', '数据管理']"
['数据分析主管'],['天津朗诺宠物食品股份有限公司'],['9千-1万'],['天津-静海'],['1-3年'],['本科'],"['行业分析', '运营数据分析', '销售数据分析']"
['金融大数据分析师'],['深圳市轩明管理咨询有限公司'],['9千-1.5万'],['天津-南开'],['不限'],['本科'],"['R语言', 'SPSS', '机器学习', '金融数据分析']"
['大数据开发工程师'],['阿鲁科尔沁旗迪新网络科技有限公司'],['8千-1.2万'],['天津-河西'],['1年以下'],['大专'],"['数据治理', '报表开发', '数仓开发', '数据建模', '数据集市', '数据挖掘', '数据运维', 'ETL开发']"
['数据业务分析师'],['天津利安隆新材料股份有限公司'],['7千-1.2万'],['天津-西青'],['不限'],['本科'],"['分类算法', '深度学习', '行业分析', '运营数据分析']"
['数据分析员'],['天津鑫能联合科技有限公司'],['6千-8千'],['天津-河西'],['不限'],['大专'],"['SQL', 'MySQL', 'Oracle']"
['低碳数据分析师'],['中创碳投'],['8千-1万'],['天津-武清'],['不限'],['本科'],"['数据分析', 'SQL', 'MATLAB', 'SPSS', 'Tableau']"
['数据应用实施（天津或南京）'],['国家电网有限公司客户服务中心'],['1.1万-1.6万'],['天津-东丽'],['3-5年'],['本科'],"['国网客服中心', '数据分析', '互联网数据分析']"
['大数据分析师'],['北京郁立康达科技有限公司'],['6千-8千'],['天津-东丽'],['不限'],['本科'],"['数据统计分析', 'R', 'SPSS', '生产统计']"
['大数据分析师'],['海量信息'],['5千-8千'],['天津-和平'],['不限'],['本科'],"['SQL', 'Python', 'Java', 'Power BI', 'Tableau', '深度学习', '决策树', '聚类算法']"
['数据分析工程师'],['天津鑫能联合科技有限公司'],['6千-8千'],['天津-河西'],['不限'],['大专'],"['SQL', 'MySQL', 'Oracle']"
['金融数据分析师'],['石家庄锦通网络科技有限公司'],['6千-9千'],['天津-北辰'],['不限'],['本科'],"['银行数据分析', '理财数据分析']"
['数据开发工程师'],['佰聆数据股份有限公司北京分公司'],['1万-1.6万'],['天津-河北'],['3-5年'],['本科'],"['Python', '数据中台', 'SQL']"
['算法工程师、数据分析师（全职）'],['龙岩龙竹雨信息技术有限公司'],['1.2万-1.3万'],['天津-滨海新区'],['不限'],['本科'],"['分类算法', '机器学习', '决策树', 'Python', 'R语言', '时间序列模型', '回归算法', '预测分析']"
['报表与可视化工程师'],['北京迦南莱米特科技有限公司'],['6千-1.2万'],['天津-武清'],['1-3年'],['本科'],['SQL']
['数据分析工程师'],['天津鑫能联合科技有限公司'],['6千-8千'],['天津-河西'],['不限'],['大专'],"['SQL', 'MySQL', 'Oracle']"
['气象数据分析师'],['天津云遥宇航科技有限公司'],['1.2万-1.8万'],['天津'],['不限'],['硕士'],"['Python', 'R']"
['大数据分析师（无经验）'],['北京郁立康达科技有限公司'],['9千-1.2万'],['天津-南开'],['不限'],['本科'],"['SPSS', '大数据分析', 'R', 'Excel']"
['数据开发工程师'],['北京天易数聚科技有限公司'],['1.1万-2.1万'],['天津-河北'],['3-5年'],['本科'],"['数据中台', 'Hadoop', 'Hive', 'Oracle', 'MySQL']"
['数据分析（跨境电商）'],['天津港保税区伊润国际贸易有限公司'],['8千-1万'],['天津'],['不限'],['本科'],"['Python', 'SQL', 'Tableau']"
['金融大数据分析师'],['深圳市荣科欣尚信息科技有限公司'],['8千-1.1万'],['天津-和平'],['不限'],['本科'],"['R语言', 'SPSS', '数据分析', 'C+']"
['数据管控系统开发工程师'],['江苏沐融信息科技有限公司'],['1.5万-2.1万'],['天津-河东'],['1-3年'],['大专'],['数据治理']
['财务数据分析师'],['北京郁立康达科技有限公司'],['6千-8千'],['天津-北辰'],['不限'],['本科'],"['数据统计分析', 'R', 'SPSS', '生产统计']"
['大数据分析师（可培养）'],['北京蓝飞信息科技有限公司'],['9千-1.2万'],['天津-西青'],['不限'],['本科'],"['数据分析', '大数据分析', '数据采集', '大数据平台']"
['医学影像数据分析师'],['天津远景科技服务有限公司'],['5千-1万'],['天津-河东'],['不限'],['本科'],['医学影像数据分析师']
['数据工程师7k起'],['蜜蜂速聘(天津)科技有限公司'],['9千-1.3万'],['天津-滨海新区'],['1-3年'],['本科'],"['Java', 'Python', 'R语言', 'Shell', 'Scala', 'SPSS', 'MATLAB', 'Alteryx']"
['电气数据分析师'],['北京翰星商贸有限公司'],['8千-1.2万'],['天津-和平'],['不限'],['本科'],"['R语言', '机器学习', 'SPSS', '数据分析']"
['大数据分析师'],['北京郁立康达科技有限公司'],['6千-8千'],['天津-滨海新区'],['不限'],['本科'],"['数据统计分析', 'R', 'SPSS', '生产统计']"
['大数据分析师（可培养）'],['北京蓝飞信息科技有限公司'],['9千-1.2万'],['天津-河西'],['不限'],['本科'],"['数据分析', '大数据分析', '数据采集', '大数据平台']"
['行业数据分析师'],['宜科（天津）电子有限公司'],['8千-1.5万'],['天津-西青'],['3-5年'],['本科'],"['SQL', 'Python', '关联分析']"
['数据分析|人工智能'],['石家庄锦通网络科技有限公司'],['7千-1万'],['天津-北辰'],['不限'],['本科'],"['Java', 'SQL']"
['数据分析师助理'],['北京靖川科技有限公司'],['9千-1.1万'],['天津-红桥'],['不限'],['本科'],"['SPSS', '商业数据分析', 'R语言', '财务数据分析']"
['高级数据分析师'],['环球慧思数据技术有限公司'],['1.5万-2万'],['天津-和平'],['5-10年'],['本科'],"['大数据分析', 'Tableau', 'SPSS', 'Python', '商业数据分析', '聚类', '数据挖掘', '模型设计']"
